순번,코드,특보구역 명,
1,S1131100,울산앞바다,
2,S1131200,경북남부앞바다,
3,S1131300,경북북부앞바다,
4,S1132000,동해남부먼바다,
5,S1151100,강원북부앞바다,
6,S1151200,강원중부앞바다,
7,S1151300,강원남부앞바다,
8,S1152000,동해중부먼바다,
9,S1231100,전북북부앞바다,
10,S1231200,전북남부앞바다,
11,S1231300,전남북부서해앞바다,
12,S1231400,전남중부서해앞바다,
13,S1231500,전남남부서해앞바다,
14,S1232000,서해남부먼바다,
15,S1251100,인천·경기북부앞바다,
16,S1251200,인천·경기남부앞바다,
17,S1251300,충남북부앞바다,
18,S1251400,충남남부앞바다,
19,S1252000,서해중부먼바다,
20,S1311100,부산앞바다,
21,S1311200,경남서부남해앞바다,
22,S1311300,경남중부남해앞바다,
23,S1311400,거제시동부앞바다,
24,S1312000,남해동부먼바다,
25,S1321100,전남서부남해앞바다,
26,S1321200,전남동부남해앞바다,
27,S1322100,남해서부서쪽먼바다,
28,S1322200,남해서부동쪽먼바다,
29,S1323100,제주도북부앞바다,
30,S1323200,제주도동부앞바다,
31,S1323300,제주도남부앞바다,
32,S1323400,제주도서부앞바다,
33,S1324000,제주도남쪽먼바다,
34,S2110100,경북남부앞바다중 평수구역,
35,S2110200,울산앞바다중 평수구역,
36,S2120100,경북북부앞바다중 연안바다,
37,S2120200,경북북부앞바다중 영덕연안바다,
38,S2120300,경북남부앞바다중 연안바다,
39,S2120400,울산앞바다중 연안바다,
40,S2120500,강원중부앞바다중 연안바다,
41,S2120600,강원북부앞바다중 연안바다,
42,S2120700,강원남부앞바다중 연안바다,
43,S2120800,울릉도울릉읍연안바다,
44,S2120900,울릉도서면연안바다,
45,S2210100,전북북부앞바다중 평수구역,
46,S2210200,전북남부앞바다중 평수구역,
47,S2210300,전남북부서해앞바다중 평수구역,
48,S2210500,전남남부서해앞바다중 평수구역,
49,S2210600,충남북부앞바다중 평수구역,
50,S2210700,충남남부앞바다중 평수구역,
51,S2210800,인천·경기북부앞바다중 앞평수구역,
52,S2210900,인천·경기북부앞바다중 먼평수구역,
53,S2211000,인천·경기남부앞바다중 앞평수구역,
54,S2211100,인천·경기남부앞바다중 먼평수구역,
55,S2211200,서해남부먼바다중 조도부근평수구역,
56,S2211300,전남중부서해앞바다중 먼평수구역,
57,S2211400,전남중부서해앞바다중 앞평수구역,
58,S2211500,천수만 평수구역,
59,S2310100,부산앞바다중 동부평수구역,
60,S2310200,부산앞바다중 서부평수구역,
61,S2310300,경남중부남해앞바다중 평수구역,
62,S2310400,경남서부남해앞바다중 동부평수구역,
63,S2310500,경남서부남해앞바다중 서부평수구역,
64,S2310600,경남서부남해앞바다중 남부평수구역,
65,S2310700,전남서부남해앞바다중 평수구역,
66,S2310800,전남동부남해앞바다중 서부평수구역,
67,S2310900,전남동부남해앞바다중 동부평수구역,
68,S2320100,부산앞바다중 연안바다,
69,S2320200,거제시동부앞바다중 연안바다,
70,S2320300,경남서부남해앞바다중 남해군연안바다,
71,S2320400,제주도북부앞바다중 연안바다,
72,S2320600,제주도서부앞바다중 연안바다,
73,S2320700,제주도남부앞바다중 연안바다,
74,S2320800,경남중부남해앞바다중 연안바다,
75,S2320900,제주도동부앞바다중 북동연안바다,
76,S2321000,제주도동부앞바다중 남동연안바다,
77,S2330100,남해서부서쪽먼바다중 추자도연안바다,
78,S2330200,제주도동부앞바다중 우도연안바다,
79,S2330300,제주도서부앞바다중 가파도연안바다,
80,L1010100,서울,
81,L1010200,광명,
82,L1010300,과천,
83,L1010400,안산,
84,L1010500,시흥,
85,L1010600,부천,
86,L1010700,김포,
87,L1010800,인천,
88,L1010900,강화,
89,L1011100,동두천,
90,L1011200,연천,
91,L1011300,포천,
92,L1011400,가평,
93,L1011500,고양,
94,L1011600,양주,
95,L1011700,의정부,
96,L1011800,파주,
97,L1011900,수원,
98,L1012000,성남,
99,L1012100,안양,
100,L1012200,구리,
101,L1012300,남양주,
102,L1012400,오산,
103,L1012500,평택,
104,L1012600,군포,
105,L1012700,의왕,
106,L1012800,하남,
107,L1012900,용인,
108,L1013000,이천,
109,L1013100,안성,
110,L1013200,화성,
111,L1013300,여주,
112,L1013400,광주,
113,L1013500,양평,
114,L1013600,옹진,
